Economy	Code	Region	IncomeGr	Population	Total Wealth	Intangible Capital	Net Foreign Assets	Produced Capital	Natural Capital	Crop 	Pasture Land	Timber	NTFR	Protected Areas	Oil	Natural Gas	Hard coal	Soft coal	Coal	Minerals	Subsoil Assets
Afghanistan	AFG	South Asia	Low income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Albania	ALB	Europe & Central Asia	Lower middle income	3129678.00	53096.00	41439.00	-386.00	6975.00	5068.00	1444.00	2360.00	62.00	626.00	574.00	0.00	0.00	0.00	1.00	1.00	0.00	1.00
Algeria	DZA	Middle East & North Africa	Upper middle income	32853798.00	30249.00	2254.00	1135.00	11046.00	15815.00	903.00	1022.00	188.00	25.00	384.00	5232.00	8045.00	0.00	0.00	0.00	16.00	13293.00
American Samoa	ASM	East Asia & Pacific	Upper middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	ADO	Europe & Central Asia	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Angola	AGO	Sub-Saharan Africa	Lower middle income	15941392.00	13804.00	-1387.00	-1013.00	2897.00	13307.00	632.00	279.00	392.00	872.00	80.00	11052.00	0.00	0.00	0.00	0.00	0.00	11052.00
Antigua and Barbuda	ATG	Latin America & Caribbean	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Argentina	ARG	Latin America & Caribbean	Upper middle income	38747148.00	71252.00	50381.00	-211.00	10815.00	10267.00	4996.00	1760.00	266.00	197.00	320.00	1377.00	1206.00	0.00	0.00	0.00	144.00	2727.00
Armenia	ARM	Europe & Central Asia	Lower middle income	3016312.00	29190.00	22356.00	-489.00	4185.00	3139.00	1580.00	1041.00	9.00	20.00	373.00	0.00	0.00	0.00	0.00	0.00	116.00	116.00
Aruba	ABW	Latin America & Caribbean	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Australia	AUS	East Asia & Pacific	High income: OECD	20329000.00	518805.00	386381.00	-19225.00	111671.00	39979.00	6138.00	6186.00	804.00	3590.00	2932.00	4309.00	5359.00	1374.00	143.00	1516.00	9143.00	20328.00
Austria	AUT	Europe & Central Asia	High income: OECD	8233300.00	570654.00	456824.00	-8033.00	112799.00	9065.00	1810.00	2005.00	1201.00	211.00	3272.00	164.00	380.00	0.00	2.00	2.00	20.00	566.00
