"County" "State" "pop_estimate" "over65" "females_percent" "white" "births" "deaths" "high_scl" "bachelor" "household_size" "per_capita_inc" "perc_poverty" "unemployment_rate" "govt_employed" "Birth_factor" "Poverty_factor"
"1" "AleutiansEast" "Alaska" 2810 3.096085409 33.6 33.30960854 0.889679715 0 74.7 4.9 2.69 18421 16.9 8.8 10.49822064 "Low" "Medium"
"2" "AleutiansWest" "Alaska" 4529 3.819827777 35 42.9675425 1.01567675 0.198719364 78.5 11 2.52 24037 10.2 6 12.07772135 "Low" "Low"
"3" "Anchorage" "Alaska" 279243 7.056577963 49 72.1615224 1.656979763 0.457307793 90.3 28.9 2.67 25287 8 5.3 15.23762458 "High" "Low"
"4" "Bethel" "Alaska" 17236 5.418890694 47.4 13.39057786 2.401949408 0.545370155 71 13.1 3.73 12603 21.4 14.1 18.26990021 "High" "High"
"5" "BristolBay" "Alaska" 953 5.141657922 47.1 47.00944386 1.259181532 0.944386149 88.9 21.1 2.57 22210 8.5 4.6 24.86883526 "Medium" "Low"
"6" "Denali" "Alaska" 1848 8.170995671 43.5 86.03896104 0.974025974 0.108225108 91.7 22.7 2.28 26251 6.4 6.1 21.26623377 "Low" "Low"
"7" "Dillingham" "Alaska" 4933 7.784309751 47.7 22.42043381 1.682546118 0.506790999 76.6 16.4 3.2 16021 21.5 9.4 15.5686195 "High" "High"
"8" "FairbanksNorthStar" "Alaska" 97970 5.761967949 46.9 80.04082883 1.602531387 0.365417985 91.8 27 2.68 21553 7.8 6.1 20.87475758 "High" "Low"
"9" "Haines" "Alaska" 2271 11.36063408 49.8 81.85821224 0.748568912 1.100836636 88.9 23.8 2.41 22090 11.4 8.9 9.379128137 "Low" "Medium"
"10" "Juneau" "Alaska" 30988 8.028914418 49.2 73.9963857 1.352136311 0.548599458 93.2 36 2.6 26719 7.1 4.8 24.37717826 "Medium" "Low"
