"id"	"AGEP"	"CIT"	"COW"	"DDRS"	"INTP"	"LANX"	"MAR"	"MARHT"	"MIG"	"MIL"	"SCHL"	"SEX"	"WAGP"	"WKHP"	"ESR"	"INDP"	"OCCP"	"PINCP"	"RAC1P"
"1"	1	90	"Born in the U.S."	NA	"Yes"	0	"No, speaks only English"	"Divorced"	"Two times"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	10700	"White alone"
"2"	2	49	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	50	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"GED or alternative credential"	"Male"	25000	40	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"CLN-JANITORS AND BUILDING CLEANERS"	25050	"White alone"
"3"	5	77	"Born in the U.S."	NA	"Yes"	0	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	13200	"White alone"
"4"	19	33	"Not a citizen of the U.S."	"Employee of a private not-for-profit,"	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Doctorate degree"	"Male"	10000	40	"Civilian employed, at work"	"EDU-COLLEGES AND UNIVERSITIES, INCLUDING JUNIOR COLLEGES"	"EDU-POSTSECONDARY TEACHERS"	10000	"Asian alone"
"5"	24	50	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	500	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Male"	82000	40	"Civilian employed, at work"	"PRF-COMPUTER SYSTEMS DESIGN AND RELATED SERVICES"	"CMM-COMPUTER SOFTWARE ENGINEERS"	82500	"White alone"
"6"	27	8	"Born in the U.S."	NA	"No"	NA	"Yes, speaks another language"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"7"	42	81	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	130	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Female"	0	NA	"Not in labor force"	"FIN-REAL ESTATE"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	16930	"White alone"
"8"	43	31	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	35000	40	"Civilian employed, with a job but not at work"	"MED-HOSPITALS"	"HLS-MEDICAL ASSISTANTS AND OTHER HEALTHCARE SUPPORT"	35000	"White alone"
"9"	53	46	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	70000	35	"Civilian employed, at work"	"EDU-COLLEGES AND UNIVERSITIES, INCLUDING JUNIOR COLLEGES"	NA	70000	"White alone"
"10"	55	45	"Born in Puerto Rico, Guam, the U.S. Virgin Islands,"	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"12th grade - no diploma"	"Male"	32000	40	"Civilian employed, at work"	"MFG-PULP, PAPER, AND PAPERBOARD MILLS"	"PRD-PRINTING MACHINE OPERATORS"	32000	"White alone"
"11"	60	62	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Professional degree beyond a bachelor's degree"	"Male"	250000	50	"Civilian employed, at work"	"MED-OFFICES OF PHYSICIANS"	"MED-PHYSICIANS AND SURGEONS"	250000	"White alone"
"12"	70	61	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Female"	42000	40	"Civilian employed, at work"	"MED-OFFICES OF PHYSICIANS"	"OFF-FIRST-LINE SUPERVISORS/MANAGERS OF OFFICE AND"	42000	"White alone"
"13"	97	5	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"14"	109	64	"U.S. citizen by naturalization"	"Employee of a private for-profit company or"	"No"	0	"Yes, speaks another language"	"Widowed"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Male"	84000	25	"Civilian employed, at work"	"MFG-MEDICAL EQUIPMENT AND SUPPLIES"	"SCI-PHYSICAL SCIENTISTS, ALL OTHER"	84000	"White alone"
"15"	137	1	"Born in the U.S."	NA	NA	NA	NA	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"16"	154	58	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Regular high school diploma"	"Male"	40000	50	"Civilian employed, at work"	"MFG-MACHINE SHOPS; TURNED PRODUCTS; SCREWS, NUTS AND BOLTS"	"PRD-MACHINISTS"	40000	"White alone"
"17"	157	18	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	9000	15	"Not in labor force"	"RET-GROCERY STORES"	"SAL-CASHIERS"	9000	"White alone"
"18"	188	35	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	2000	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Male"	1000	20	"Civilian employed, at work"	"PRF-SERVICES TO BUILDINGS AND DWELLINGS, EX CONSTR CLN"	"CLN-GROUNDS MAINTENANCE WORKERS"	3000	"White alone"
"19"	196	81	"Born in the U.S."	NA	"No"	18000	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Master's degree"	"Male"	0	NA	"Not in labor force"	NA	NA	35300	"White alone"
"20"	211	45	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	200	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Professional degree beyond a bachelor's degree"	"Female"	180000	65	"Civilian employed, at work"	"MFG-PHARMACEUTICALS AND MEDICINES"	NA	180200	"White alone"
"21"	228	56	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Male"	225000	40	"Civilian employed, at work"	"MED-OTHER HEALTH CARE SERVICES"	NA	225000	"White alone"
"22"	243	56	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	25000	45	"Civilian employed, at work"	"RET-GROCERY STORES"	"SAL-CASHIERS"	25000	"White alone"
"23"	254	8	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"24"	268	22	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Male"	5500	22	"Not in labor force"	"EDU-COLLEGES AND UNIVERSITIES, INCLUDING JUNIOR COLLEGES"	"CON-ELECTRICIANS"	5500	"White alone"
"25"	272	65	"Born in Puerto Rico, Guam, the U.S. Virgin Islands,"	NA	"No"	0	"Yes, speaks another language"	"Widowed"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	NA	"Male"	0	NA	"Not in labor force"	NA	NA	6200	"Some other race alone"
"26"	273	44	"Born in Puerto Rico, Guam, the U.S. Virgin Islands,"	"Employee of a private not-for-profit,"	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Regular high school diploma"	"Male"	0	NA	"Unemployed"	"TRN-TRUCK TRANSPORTATION"	"TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS"	0	"Some other race alone"
"27"	274	45	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Male"	62000	40	"Civilian employed, at work"	NA	"CON-CARPENTERS"	65500	"White alone"
"28"	280	54	"Born in the U.S."	NA	"Yes"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	NA	"Female"	0	NA	"Not in labor force"	NA	NA	17470	"White alone"
"29"	283	30	"Born in the U.S."	"State government employee"	"No"	250	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	100000	55	"Civilian employed, at work"	"ADM-PUBLIC FINANCE ACTIVITIES"	NA	100250	"White alone"
"30"	284	23	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	1100	4	"Not in labor force"	"SCA-INDIVIDUAL AND FAMILY SERVICES"	"CLN-JANITORS AND BUILDING CLEANERS"	12600	"White alone"
"31"	285	22	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"12th grade - no diploma"	"Female"	200	8	"Not in labor force"	"SCA-INDIVIDUAL AND FAMILY SERVICES"	"CLN-JANITORS AND BUILDING CLEANERS"	6900	"White alone"
"32"	286	1	"Born in the U.S."	NA	NA	NA	NA	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"33"	288	37	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	35000	45	"Civilian employed, at work"	"PRF-VETERINARY SERVICES"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	35000	"White alone"
"34"	307	14	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	"Grade 8"	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"35"	308	85	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Widowed"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	19500	"White alone"
"36"	310	78	"Born in the U.S."	"Self-employed in own incorporated"	"No"	250	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Female"	0	NA	"Not in labor force"	"PRF-BUSINESS SUPPORT SERVICES"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	5750	"White alone"
"37"	318	35	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Male"	45000	40	"Civilian employed, at work"	"PRF-INVESTIGATION AND SECURITY SERVICES"	"CON-PIPELAYERS, PLUMBERS, PIPEFITTERS, AND STEAMFITTERS"	45000	"White alone"
"38"	323	62	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Bachelor's degree"	"Male"	88000	45	"Civilian employed, at work"	"FIN-REAL ESTATE"	NA	88000	"White alone"
"39"	330	68	"Born in the U.S."	NA	"No"	7200	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Master's degree"	"Male"	0	NA	"Not in labor force"	NA	NA	29400	"Asian alone"
"40"	337	34	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Regular high school diploma"	"Female"	19800	40	"Civilian employed, at work"	"WHL-HARDWARE, PLUMBING AND HEATING EQUIPMENT, AND SUPPLIES"	"OFF-OFFICE CLERKS, GENERAL"	19800	"White alone"
"41"	344	11	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"42"	349	42	"U.S. citizen by naturalization"	"Self-employed in own not incorporated"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	40	"Civilian employed, with a job but not at work"	"PRF-SERVICES TO BUILDINGS AND DWELLINGS, EX CONSTR CLN"	"CLN-MAIDS AND HOUSEKEEPING CLEANERS"	17500	"White alone"
"43"	351	63	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Associate's degree"	"Male"	62000	45	"Civilian employed, at work"	"ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES"	"PRT-POLICE OFFICERS"	62000	"White alone"
"44"	406	48	"Born in the U.S."	"Self-employed in own incorporated"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Female"	20000	20	"Civilian employed, at work"	"FIN-REAL ESTATE"	"SAL-REAL ESTATE BROKERS AND SALES AGENTS"	20000	"White alone"
