"weight","Time","Rat","Diet"
240,"day01","no01","1"
250,"day08","no01","1"
255,"day15","no01","1"
260,"day22","no01","1"
262,"day29","no01","1"
258,"day36","no01","1"
266,"day43","no01","1"
266,"day44","no01","1"
265,"day50","no01","1"
272,"day57","no01","1"
278,"day64","no01","1"
225,"day01","no02","1"
230,"day08","no02","1"
230,"day15","no02","1"
232,"day22","no02","1"
240,"day29","no02","1"
240,"day36","no02","1"
243,"day43","no02","1"
244,"day44","no02","1"
238,"day50","no02","1"
247,"day57","no02","1"
245,"day64","no02","1"
245,"day01","no03","1"
250,"day08","no03","1"
260,"day01","no04","1"
255,"day08","no04","1"
255,"day15","no04","1"
265,"day22","no04","1"
265,"day29","no04","1"
268,"day36","no04","1"
270,"day43","no04","1"
272,"day44","no04","1"
274,"day50","no04","1"
273,"day57","no04","1"
275,"day64","no04","1"
255,"day01","no05","1"
260,"day08","no05","1"
255,"day15","no05","1"
270,"day22","no05","1"
270,"day29","no05","1"
273,"day36","no05","1"
274,"day43","no05","1"
273,"day44","no05","1"
276,"day50","no05","1"
278,"day57","no05","1"
280,"day64","no05","1"
260,"day01","no06","1"
265,"day08","no06","1"
270,"day15","no06","1"
275,"day22","no06","1"
275,"day29","no06","1"
277,"day36","no06","1"
278,"day43","no06","1"
278,"day44","no06","1"
284,"day50","no06","1"
279,"day57","no06","1"
281,"day64","no06","1"
275,"day01","no07","1"
275,"day08","no07","1"
260,"day15","no07","1"
270,"day22","no07","1"
273,"day29","no07","1"
274,"day36","no07","1"
276,"day43","no07","1"
271,"day44","no07","1"
282,"day50","no07","1"
245,"day01","no08","1"
255,"day08","no08","1"
260,"day15","no08","1"
268,"day22","no08","1"
270,"day29","no08","1"
265,"day36","no08","1"
265,"day43","no08","1"
267,"day44","no08","1"
273,"day50","no08","1"
274,"day57","no08","1"
278,"day64","no08","1"
410,"day01","no09","2"
415,"day08","no09","2"
425,"day15","no09","2"
428,"day22","no09","2"
438,"day29","no09","2"
443,"day36","no09","2"
442,"day43","no09","2"
446,"day44","no09","2"
456,"day50","no09","2"
468,"day57","no09","2"
478,"day64","no09","2"
405,"day01","no10","2"
420,"day08","no10","2"
430,"day15","no10","2"
440,"day22","no10","2"
448,"day29","no10","2"
460,"day36","no10","2"
458,"day43","no10","2"
464,"day44","no10","2"
475,"day50","no10","2"
484,"day57","no10","2"
496,"day64","no10","2"
445,"day01","no11","2"
445,"day08","no11","2"
450,"day15","no11","2"
452,"day22","no11","2"
455,"day29","no11","2"
455,"day36","no11","2"
451,"day43","no11","2"
450,"day44","no11","2"
462,"day50","no11","2"
466,"day57","no11","2"
472,"day64","no11","2"
555,"day01","no12","2"
560,"day08","no12","2"
565,"day15","no12","2"
580,"day22","no12","2"
590,"day29","no12","2"
597,"day36","no12","2"
595,"day43","no12","2"
595,"day44","no12","2"
612,"day50","no12","2"
618,"day57","no12","2"
628,"day64","no12","2"
470,"day01","no13","3"
465,"day08","no13","3"
475,"day15","no13","3"
485,"day22","no13","3"
487,"day29","no13","3"
493,"day36","no13","3"
493,"day43","no13","3"
504,"day44","no13","3"
507,"day50","no13","3"
518,"day57","no13","3"
525,"day64","no13","3"
535,"day01","no14","3"
525,"day08","no14","3"
530,"day15","no14","3"
533,"day22","no14","3"
535,"day29","no14","3"
540,"day36","no14","3"
525,"day43","no14","3"
530,"day44","no14","3"
543,"day50","no14","3"
544,"day57","no14","3"
559,"day64","no14","3"
520,"day01","no15","3"
525,"day08","no15","3"
530,"day15","no15","3"
540,"day22","no15","3"
543,"day29","no15","3"
510,"day01","no16","3"
510,"day08","no16","3"
520,"day15","no16","3"
515,"day22","no16","3"
530,"day29","no16","3"
538,"day36","no16","3"
535,"day43","no16","3"
542,"day44","no16","3"
550,"day50","no16","3"
553,"day57","no16","3"
569,"day64","no16","3"
